author,comment_date,comment_nickname,comment_rating,comment_rel,comment_time,post_date,post_id,post_time,status,title
AlexLeonov,23-05-15,neolink,+2,8431017,01:16,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,23-05-15,mickvav,+2,8431265,14:14,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,22-05-15,velvetcat,+2,8430647,20:02,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,22-05-15,AlexLeonov,+7,8430847,22:45,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,22-05-15,smarteq,0,8430649,20:03,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,22-05-15,MaximChistov,+1,8430651,20:07,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,22-05-15,smarteq,+8,8430655,20:09,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,22-05-15,Blumfontein,+1,8430691,20:38,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,22-05-15,BoShurik,–5,8430737,21:18,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,22-05-15,AlexLeonov,+3,8430829,22:27,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,23-05-15,smarteq,0,8431215,12:23,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,23-05-15,gonzazoid,+3,8431299,15:55,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,23-05-15,Blumfontein,0,8431333,16:35,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,23-05-15,maximw,–1,8431395,18:09,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,23-05-15,Blumfontein,+2,8431403,18:35,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,Fesor,0,8431825,20:06,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,SerafimArts,0,8431893,21:04,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,23-05-15,MaximChistov,0,8431121,08:23,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,22-05-15,forgotten,+75,8430659,20:14,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,22-05-15,SerafimArts,+28,8430709,20:47,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,23-05-15,hell0w0rd,–4,8430963,00:06,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,23-05-15,SerafimArts,0,8430991,00:39,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,23-05-15,mickvav,0,8431269,14:18,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,23-05-15,foxmuldercp,+2,8431305,16:01,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
